DATE,Facility_Type,County,Case_Count
2020-04-29 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,17
2020-04-29 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,73
2020-04-29 10:00:00,Staff: State and Local Affected Facilities,Allegany,3
2020-04-29 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-04-29 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-04-29 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-05-06 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,25
2020-05-06 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,64
2020-05-06 10:00:00,Staff: State and Local Affected Facilities,Allegany,3
2020-05-06 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-05-06 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-05-06 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-05-13 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,31
2020-05-13 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,81
2020-05-13 10:00:00,Staff: State and Local Affected Facilities,Allegany,3
2020-05-13 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-05-13 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-05-13 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-05-20 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,31
2020-05-20 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,81
2020-05-20 10:00:00,Staff: State and Local Affected Facilities,Allegany,3
2020-05-20 10:00:00,Patients: State and Local Affected Facilities,Allegany,1
2020-05-20 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-05-20 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-05-27 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,35
2020-05-27 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88
2020-05-27 10:00:00,Staff: State and Local Affected Facilities,Allegany,3
2020-05-27 10:00:00,Patients: State and Local Affected Facilities,Allegany,1
2020-05-27 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-05-27 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-06-03 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,37
2020-06-03 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,91
2020-06-03 10:00:00,Staff: State and Local Affected Facilities,Allegany,3
2020-06-03 10:00:00,Patients: State and Local Affected Facilities,Allegany,1
2020-06-03 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-06-03 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-06-10 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,38
2020-06-10 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,97
2020-06-10 10:00:00,Staff: State and Local Affected Facilities,Allegany,3
2020-06-10 10:00:00,Patients: State and Local Affected Facilities,Allegany,1
2020-06-10 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-06-10 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-06-17 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36
2020-06-17 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88
2020-06-17 10:00:00,Staff: State and Local Affected Facilities,Allegany,3
2020-06-17 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-06-17 10:00:00,Inmates: State and Local Affected Facilities,Allegany,1
2020-06-17 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-06-24 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36
2020-06-24 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88
2020-06-24 10:00:00,Staff: State and Local Affected Facilities,Allegany,4
2020-06-24 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-06-24 10:00:00,Inmates: State and Local Affected Facilities,Allegany,4
2020-06-24 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-07-01 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36
2020-07-01 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88
2020-07-01 10:00:00,Staff: State and Local Affected Facilities,Allegany,5
2020-07-01 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-07-01 10:00:00,Inmates: State and Local Affected Facilities,Allegany,12
2020-07-01 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-07-08 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36
2020-07-08 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88
2020-07-08 10:00:00,Staff: State and Local Affected Facilities,Allegany,5
2020-07-08 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-07-08 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-07-08 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-07-15 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,36
2020-07-15 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88
2020-07-15 10:00:00,Staff: State and Local Affected Facilities,Allegany,5
2020-07-15 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-07-15 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-07-15 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-07-22 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,1
2020-07-22 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,0
2020-07-22 10:00:00,Staff: State and Local Affected Facilities,Allegany,5
2020-07-22 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-07-22 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-07-22 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-07-29 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,41
2020-07-29 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,88
2020-07-29 10:00:00,Staff: State and Local Affected Facilities,Allegany,7
2020-07-29 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-07-29 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-07-29 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
2020-08-05 10:00:00,"Staff: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,41
2020-08-05 10:00:00,"Residents: Nursing, Assisted Living, Group Homes Affected Facilities",Allegany,89
2020-08-05 10:00:00,Staff: State and Local Affected Facilities,Allegany,7
2020-08-05 10:00:00,Patients: State and Local Affected Facilities,Allegany,0
2020-08-05 10:00:00,Inmates: State and Local Affected Facilities,Allegany,0
2020-08-05 10:00:00,Youth: State and Local Affected Facilities,Allegany,0
